,Country,iso_code,Long,Lat
0,Afghanistan,AFG,65,33
1,Albania,ALB,20,41
2,Algeria,DZA,3,28
3,American Samoa,ASM,-170,-14.3333
4,Andorra,AND,1.6,42.5
5,Angola,AGO,18.5,-12.5
6,Anguilla,AIA,-63.1667,18.25
7,Antarctica,ATA,0,-90
8,Antigua and Barbuda,ATG,-61.8,17.05
9,Argentina,ARG,-64,-34
10,Armenia,ARM,45,40
11,Aruba,ABW,-69.9667,12.5
12,Australia,AUS,133,-27
13,Austria,AUT,13.3333,47.3333
14,Azerbaijan,AZE,47.5,40.5
15,Bahamas,BHS,-76,24.25
16,Bahrain,BHR,50.55,26
17,Bangladesh,BGD,90,24
18,Barbados,BRB,-59.5333,13.1667
19,Belarus,BLR,28,53
20,Belgium,BEL,4,50.8333
21,Belize,BLZ,-88.75,17.25
22,Benin,BEN,2.25,9.5
23,Bermuda,BMU,-64.75,32.3333
24,Bhutan,BTN,90.5,27.5
25,"Bolivia, Plurinational State of",BOL,-65,-17
26,Bolivia,BOL,-65,-17
27,Bosnia and Herzegovina,BIH,18,44
28,Botswana,BWA,24,-22
29,Bouvet Island,BVT,3.4,-54.4333
30,Brazil,BRA,-55,-10
31,British Indian Ocean Territory,IOT,71.5,-6
32,Brunei Darussalam,BRN,114.6667,4.5
33,Brunei,BRN,114.6667,4.5
34,Bulgaria,BGR,25,43
35,Burkina Faso,BFA,-2,13
36,Burundi,BDI,30,-3.5
37,Cambodia,KHM,105,13
38,Cameroon,CMR,12,6
39,Canada,CAN,-95,60
40,Cape Verde,CPV,-24,16
41,Cayman Islands,CYM,-80.5,19.5
42,Central African Republic,CAF,21,7
43,Chad,TCD,19,15
44,Chile,CHL,-71,-30
45,China,CHN,105,35
46,Christmas Island,CXR,105.6667,-10.5
47,Cocos (Keeling) Islands,CCK,96.8333,-12.5
48,Colombia,COL,-72,4
49,Comoros,COM,44.25,-12.1667
50,Congo,COG,15,-1
51,"Congo, the Democratic Republic of the",COD,25,0
52,Cook Islands,COK,-159.7667,-21.2333
53,Costa Rica,CRI,-84,10
54,Côte d'Ivoire,CIV,-5,8
55,Ivory Coast,CIV,-5,8
56,Croatia,HRV,15.5,45.1667
57,Cuba,CUB,-80,21.5
58,Cyprus,CYP,33,35
59,Czech Republic,CZE,15.5,49.75
60,Denmark,DNK,10,56
61,Djibouti,DJI,43,11.5
62,Dominica,DMA,-61.3333,15.4167
63,Dominican Republic,DOM,-70.6667,19
64,Ecuador,ECU,-77.5,-2
65,Egypt,EGY,30,27
66,El Salvador,SLV,-88.9167,13.8333
67,Equatorial Guinea,GNQ,10,2
68,Eritrea,ERI,39,15
69,Estonia,EST,26,59
70,Ethiopia,ETH,38,8
71,Falkland Islands (Malvinas),FLK,-59,-51.75
72,Faroe Islands,FRO,-7,62
73,Fiji,FJI,175,-18
74,Finland,FIN,26,64
75,France,FRA,2,46
76,French Guiana,GUF,-53,4
77,French Polynesia,PYF,-140,-15
78,French Southern Territories,ATF,67,-43
79,Gabon,GAB,11.75,-1
80,Gambia,GMB,-16.5667,13.4667
81,Georgia,GEO,43.5,42
82,Germany,DEU,9,51
83,Ghana,GHA,-2,8
84,Gibraltar,GIB,-5.3667,36.1833
85,Greece,GRC,22,39
86,Greenland,GRL,-40,72
87,Grenada,GRD,-61.6667,12.1167
88,Guadeloupe,GLP,-61.5833,16.25
89,Guam,GUM,144.7833,13.4667
90,Guatemala,GTM,-90.25,15.5
91,Guernsey,GGY,-2.56,49.5
92,Guinea,GIN,-10,11
93,Guinea-Bissau,GNB,-15,12
94,Guyana,GUY,-59,5
95,Haiti,HTI,-72.4167,19
96,Heard Island and McDonald Islands,HMD,72.5167,-53.1
97,Holy See (Vatican City State),VAT,12.45,41.9
98,Honduras,HND,-86.5,15
99,Hong Kong,HKG,114.1667,22.25
100,Hungary,HUN,20,47
101,Iceland,ISL,-18,65
102,India,IND,77,20
103,Indonesia,IDN,120,-5
104,"Iran, Islamic Republic of",IRN,53,32
105,Iraq,IRQ,44,33
106,Ireland,IRL,-8,53
107,Isle of Man,IMN,-4.55,54.23
108,Israel,ISR,34.75,31.5
109,Italy,ITA,12.8333,42.8333
110,Jamaica,JAM,-77.5,18.25
111,Japan,JPN,138,36
112,Jersey,JEY,-2.13,49.21
